P%,A,B,n,CE_o,CE_L,learn_BN,avg_CE_learn_at_BN,IPA
0.0,0.29933359800657244,5.806807093480915,0.9046425677474221,2.302585092994046,0.4996587475053198,42.0,0.4977859999999999,0.042926817749731574
10.0,0.2927314824657088,5.778865133373056,0.8770822208779401,2.302585092994046,0.4937168435185426,47.0,0.49124,0.038486558499478796
20.0,0.29864047084391143,7.225893346069379,0.929179367786747,2.302585092994046,0.49903493305892455,50.0,0.495715,0.03607100319870243
30.0,0.2993366089006041,7.643609231891446,0.9203124945287235,2.302585092994046,0.49966145730994804,54.0,0.499619,0.033387474734890704
40.0,0.2985994739706259,8.459087430233048,0.9153557835278283,2.302585092994046,0.49899803587296776,63.0,0.4980279999999999,0.02862836598604886
50.0,0.28276451109425604,7.1199175345924015,0.8118922992809914,2.302585092994046,0.484746569284235,82.0,0.482642,0.022168762484265987
60.0,0.2847177808452912,7.545923356272521,0.7812273079644034,2.302585092994046,0.48650451206016654,104.0,0.484576,0.01746231327821038
70.0,0.30182554474918316,8.64187227411467,0.7677634558121395,2.302585092994046,0.5019014995736693,134.0,0.500877,0.013437937264331169
80.0,0.3153772428684487,8.247909389876185,0.6761342686540455,2.302585092994046,0.5140980278810083,242.0,0.513973,0.007390442417822469
82.0,0.3652620863078374,10.17062842474875,0.7322344090579496,2.302585092994046,0.5589943869764582,218.0,0.558315873015873,0.007998122504667833
84.0,0.3550436880867519,9.016668898098601,0.67026027016446,2.302585092994046,0.5497978285774812,301.0,0.5494379310344828,0.0058232135030450655
86.0,0.5372707142857143,0.9990337301587493,0.5,2.302585092994046,0.7138021521565474,156.0,0.7126174603174603,0.010184506031009606
88.0,0.4375546892402321,9.978013206546454,0.6711598248522004,2.302585092994046,0.6240577296156133,372.0,0.6239259259259259,0.004512170331662453
90.0,0.4543365336064791,8.841291812858199,0.6095887387282303,2.302585092994046,0.6391613895452357,569.0,,0.0029234159990313008
92.0,0.45520934135300406,6.857050401862741,0.5074683730164282,2.302585092994046,0.6399469165171081,1238.0,,0.0013430033735678012
94.0,0.5428358735896365,7.504591160794494,0.5000000000828336,2.302585092994046,0.7188107955300773,1818.0,,0.000871162979903173
96.0,0.7118629819214238,8.206407177314079,0.5000148522641691,2.302585092994046,0.8709351930286859,2660.0,,0.0005382142481072782
98.0,1.5180075,0.6803163709677151,0.5,2.302585092994046,1.5964652592994044,255.0,1.596455172413793,0.0027690973870378097
100.0,2.3,0.0,0.5,2.302585092994046,2.3002585092994043,,,
